,PE,APE,APE,,San Juan Aposento,,,,,,,Сан-Хуан-Апосенто,,,,Сан-Хуан-Апосенто,,,,1,10/01/12 14:29,
,US,MXC,MXC,UT,San Juan Cnt,,,San Juan County,San Juan County,San Juan County,,Сан-Хуан,,,,Сан-Хуан,,San Juan County,,1,11/01/12 14:29,
,CO,SJR,SJR,,San Juan D Ur,,,,,,,Сан-Хуан-Д-Ур,,,,Сан-Хуан-Д-Ур,,,,1,12/01/12 14:29,
,CO,SJH,SJH,,San Juan Del Cesa,,,,,,,Сан-Хуан-дел-Кеса,,,,Сан-Хуан-дел-Кеса,,,,1,13/01/12 14:29,
,US,WSJ,WSJ,AK,San Juan Spb,,,,,,,Сан-Хуан,,,,Сан-Хуан,,,,1,14/01/12 14:29,
,AR,ULA,ULA,SC,San Julian,,,,,,,Сан-Хулиан,,,,Сан-Хулиан,,,,1,15/01/12 14:29,
,CU,SNJ,SNJ,,San Julian,,,,,,,Сан-Хулиан,,,,Сан-Хулиан,,,,1,16/01/12 14:29,
,CO,IPI,IPI,,San Luis,,,Ipiales,,Ipiales,,Сан-Луис,,,,Сан-Луис,,Ipiales,,1,17/01/12 14:29,
,AR,LUQ,LUQ,SL,San Luis,,,,,,,Сан-Луис,,,,Сан-Луис,,,,1,18/01/12 14:29,
,CO,SQE,SQE,,San Luis De Pale,,,,,,,Сан-Луис-де-Пале,,,,Сан-Луис-де-Пале,,,,1,19/01/12 14:29,
,MX,SLP,SLP,,San Luis Potosi,,,,,,,Сан-Луис-Потоси,,,,Сан-Луис-Потоси,,,,1,20/01/12 14:29,
,MX,UAC,UAC,,San Luis Rio Colorado,,,,,,,Сан-Луис-Рио-Колорадо,,,,Сан-Луис-Рио-Колорадо,,,,1,21/01/12 14:29,
,CO,SRS,SRS,,San Marcos,,,,,,,Сан-Маркос,,,,Сан-Маркос,,,,1,22/01/12 14:29,
,SM,SAI,SAI,,San Marino,,,,,,,Сан-Марино,,,,Сан-Марино,,,,1,23/01/12 14:29,
,BO,MQK,MQK,,San Matias,,,,,,,Сан-Матиас,,,,Сан-Матиас,,,,1,24/01/12 14:29,
,PA,NMG,NMG,,San Miguel,,,,,,,Сан-Мигель,,,,Сан-Мигель,,,,1,25/01/12 14:29,
,ES,SPO,SPO,,San Pablo,,,Spoorwegstation,Railway Station,Gare,,Сан-Пабло,,,,Сан-Пабло,,Estación ferroviaria,,1,26/01/12 14:29,
,NI,BZA,BZA,,San Pedro,,,,,,,Сан-Педро,,,,Сан-Педро,,,,1,27/01/12 14:29,
,BZ,SPR,SPR,,San Pedro,,,,,,,Сан-Педро,,,,Сан-Педро,,,,1,28/01/12 14:29,
,CV,VXE,VXE,,San Pedro,,,,,,,Сан-Педро,,,,Сан-Педро,,,,1,29/01/12 14:29,
,CI,SPY,SPY,,San Pedro,,,,,,,Сан-Педро,,,,Сан-Педро,,,,1,30/01/12 14:29,
,AR,XPD,XPD,PJ,San Pedro,,,,,,,Сан-Педро,,,,Сан-Педро,,,,1,31/01/12 14:29,
,CO,SJG,SJG,,San Pedro Jagua,,,,,,,Сан-Педро-Жапуа,,,,Сан-Педро-Жапуа,,,,1,01/02/12 14:29,
,CO,NPU,NPU,,San Pedro Uraba,,,,,,,Сан-Педро-Ураба,,,,Сан-Педро-Ураба,,,,1,02/02/12 14:29,
,MX,SNQ,SNQ,,San Quintin,,,,,,,Сан-Кинтин,,,,Сан-Кинтин,,,,1,03/02/12 14:29,
,AR,AFA,AFA,MD,San Rafael,,,,,,,Сан-Рафаэль,,,,Сан-Рафаэль,,,,1,04/02/12 14:29,
,BO,SRD,SRD,,San Ramon,,,,,,,Сан-Рамон,,,,Сан-Рамон,,,,1,05/02/12 14:29,
,BS,ZSA,ZSA,,San Salvador,,,,,,,Сан-Салвадор,,,,Сан-Салвадор,,,,1,06/02/12 14:29,
,VE,SVV,SVV,,San Salvador De,,,,,,,Сан-Сальвадор,,,,Сан-Сальвадор,,,,1,07/02/12 14:29,
,ES,EAS,EAS,,San Sebastian,,,,,,,Сан-Себастьян,,,,Сан-Себастьян,,San Sebastián,,1,08/02/12 14:29,
